WKT,LINK_ID,ST_NAME
"MULTILINESTRING ((34.84495 32.04475,34.84487 32.04476,34.84483 32.04478,34.84481 32.04483,34.84481 32.0449,34.84482 32.04498,34.84486 32.04503))",834523864,
"MULTILINESTRING ((34.83495 32.04468,34.83489 32.04473,34.83488 32.04478))",834523867,
"MULTILINESTRING ((34.83488 32.04478,34.83491 32.04482,34.83499 32.04483))",834523868,
"MULTILINESTRING ((34.8475 32.04622,34.84744 32.04623,34.8474 32.04626,34.8474 32.04631))",834523877,
"MULTILINESTRING ((34.84116 32.04524,34.8412 32.04529,34.84122 32.04536,34.84119 32.04542,34.84111 32.04544))",834523883,
"MULTILINESTRING ((34.84106 32.04524,34.84111 32.04523,34.84116 32.04524))",834523884,
"MULTILINESTRING ((34.82363 32.05346,34.82361 32.05349,34.82358 32.05351,34.82354 32.05352,34.8235 32.05352,34.82347 32.05351,34.82344 32.05349))",834523957,כיכר סיירת חרוב
"MULTILINESTRING ((34.82358 32.05334,34.82354 32.05333,34.82349 32.05333,34.82345 32.05335,34.82343 32.05337))",834523963,כיכר סיירת חרוב
"MULTILINESTRING ((34.82358 32.05334,34.82361 32.05336,34.82363 32.05339,34.82364 32.05342,34.82363 32.05346))",834523964,כיכר סיירת חרוב
"MULTILINESTRING ((34.82343 32.05337,34.82342 32.05339,34.82341 32.05343,34.82342 32.05346,34.82344 32.05349))",834523966,כיכר סיירת חרוב
"MULTILINESTRING ((34.8226 32.05568,34.82262 32.05572,34.82263 32.05577,34.82263 32.05583,34.8226 32.05592,34.82257 32.05598,34.82254 32.05603,34.8225 32.05607,34.82245 32.0561))",834523982,כיכר עוזי חיטמן
"MULTILINESTRING ((34.82245 32.0561,34.82238 32.05612,34.82231 32.05611))",834523985,כיכר עוזי חיטמן
"MULTILINESTRING ((34.82249 32.05561,34.82253 32.05562,34.82258 32.05565,34.8226 32.05568))",834523987,כיכר עוזי חיטמן
